,idx,sentence,followup,ftype,stype,gpt2small_response,gpt2med_response,gpt2large_response,gpt2xl_response
102,63,Most graduate students shop from two thrift stores,and I'm sure the two thrift stores offer great deals.,F1,S,-40.11390686035156,-38.59142017364502,-38.61762714385986,-36.11602258682251
103,1,I may meet a close friend of mine in the morning,and I know which one.,F1,S,-19.321937561035156,-23.52371597290039,-20.863720417022705,-19.392759323120117
104,43,I sometimes like most songs on Mario's playlist,"because they're hip-hop songs, and now and then I enjoy hip-hop.",F1,S,-46.5627555847168,-44.71391582489014,-45.693668842315674,-49.939409255981445
105,57,A few people own these investment stocks,"because everyone wants to buy them, and everyone can afford to.",F2,Sc,-33.34501266479492,-34.0804557800293,-34.70969915390015,-36.534839153289795
106,58,A few kitchens make food for every local orphanage,since we don't have enough kitchens for the number of orphanages.,F1,S,-39.48924255371094,-35.34422743320465,-34.23420810699463,-34.38173246383667
107,10,I might see two of my professors today,but I don't know which two.,F2,S,-21.93657684326172,-20.381866455078125,-18.773868560791016,-17.333964824676514
108,38,I avoided two resorts this summer,because I didn't go anywhere.,F2,Sc,-20.2430419921875,-19.99941635131836,-19.69476890563965,-20.496987342834473
109,44,I danced with all my siblings,although each time it's with a different one.,F2,Sc,-39.12831115722656,-38.578243255615234,-37.80034351348877,-36.09249019622803
110,21,I traveled to a few countries this year,because I've always wanted to travel to them.,F1,Sc,-23.23064422607422,-24.013259887695312,-23.094443321228027,-22.718427181243896
111,64,Every laptop is facing a glitch,and each glitch is causing major issues to users.,F2,S,-40.643829345703125,-33.059539794921875,-37.35142946243286,-33.83332920074463
112,9,I visited the majority of my neighbours,and I know who they are.,F1,Sc,-16.005752563476562,-17.036293029785156,-15.37427043914795,-16.095532417297363
113,53,I drank with most people I play chess against,because they happen to also be good friends of mine.,F1,Sc,-30.270092010498047,-28.996675491333008,-30.772916793823242,-28.55970335006714
114,40,I accepted three applications for the job,because there were no applications in the first place.,F2,Sc,-27.510936737060547,-26.14737892150879,-28.461702823638916,-28.222763061523438
115,29,I didn't notice an error in my code,because my code had no errors.,F2,S,-19.894363403320312,-19.61011505126953,-18.749147415161133,-17.7280216217041
116,39,I didn't win five games of tennis on Saturday,since I didn't play any tennis on Saturday.,F2,S,-25.751235961914062,-25.773170471191406,-24.488857746124268,-27.01004648208618
117,42,I sometimes eat a few flavours from St Viateur,because I really like those flavours.,F1,S,-20.137619018554688,-17.324169158935547,-17.526240348815918,-17.7069993019104
118,53,I always drink with most people I play chess against,because they happen to also be good friends of mine.,F1,S,-28.952556610107422,-27.81631088256836,-31.022390842437744,-27.889474868774414
119,58,A few kitchens make food for these local orphanages,since we have way too many kitchens for the number of orphanages.,F2,Sc,-43.343040466308594,-42.18657684326172,-41.28553295135498,-40.16259050369263
120,60,Most fast-food chains exclusively sell a brand of soda,"and in each case, the brand of soda is popular.",F2,S,-39.02472686767578,-34.84440994262695,-33.808207511901855,-34.21197271347046
121,31,I didn't watch most of Breaking Bad,as I only watched a couple episodes.,F1,S,-19.42669677734375,-19.8470458984375,-19.714855670928955,-20.912545204162598
122,28,I forgot a joke told on the TV show Hannibal,even though the joke was really funny.,F1,Sc,-23.548385620117188,-23.467884063720703,-24.854876041412354,-24.359923362731934
123,18,I was friends with every person in my office,because I care about who they are.,F1,Sc,-24.26966094970703,-22.366472244262695,-23.922379970550537,-22.236818313598633
124,32,I didn't like all the books on sale,which is to say I enjoyed none of them.,F1,S,-31.51435089111328,-30.07607936859131,-32.41567659378052,-29.95283842086792
125,9,I must visit the majority of my neighbours,and I know who they are.,F1,S,-15.975784301757812,-17.14940643310547,-17.60300350189209,-17.207960605621338
126,37,I didn't condone every statement the President made,as I thought every one of them was horrible.,F1,S,-30.160537719726562,-31.936864376068115,-30.879977703094482,-29.565153121948242
127,30,I ignored a few professors,since there were no professors to shake hands with.,F2,Sc,-33.97502136230469,-31.012950897216797,-31.404720783233643,-32.412251472473145
128,43,I liked most songs on Mario's playlist,"because they're hip-hop songs, and now and then I enjoy hip-hop.",F1,Sc,-48.21908187866211,-47.57702445983887,-49.48156452178955,-49.27695274353027
129,25,I shared my playlist with three close friends,because the three of them love my playlists.,F1,Sc,-32.77095031738281,-34.719491958618164,-32.90497398376465,-30.868282318115234
130,52,I always rent some pieces of gear before climbing,although it's a different set of pieces of gear each time.,F2,S,-41.080379486083984,-42.01462745666504,-36.64521408081055,-36.0913782119751
131,59,Some textbooks cite three authors on colonialism,because the three of them are highly regarded.,F1,S,-30.126304626464844,-30.6461181640625,-30.964389324188232,-30.44570255279541
132,59,Some textbooks cite these three authors on colonialism,because the three of them are highly regarded.,F1,Sc,-30.05699920654297,-28.08062744140625,-27.285347938537598,-26.24944257736206
133,58,A few kitchens make food for every local orphanage,since we have way too many kitchens for the number of orphanages.,F2,S,-43.23905944824219,-42.337275981903076,-39.93794536590576,-40.980775356292725
134,8,I will likely speak face-to-face with most of my classmates,and I know which ones those are.,F1,S,-27.96704864501953,-28.059349060058594,-29.45603036880493,-26.475514888763428
135,67,All students are supervised by these two professors,since we don't have enough professors.,F1,Sc,-25.78791046142578,-23.95245361328125,-23.015226364135742,-22.019888877868652
136,57,A few people own most investment stocks,"because although everyone wants to buy them, no one else can afford to.",F1,S,-43.85333251953125,-43.30624485015869,-43.67228174209595,-44.75387239456177
137,32,I disliked all the books on sale,which is to say I enjoyed none of them.,F1,Sc,-31.085403442382812,-29.876754760742188,-32.193381786346436,-28.531238555908203
138,33,I allowed some people to leave the office early on Friday,although I could have stopped them from doing so.,F1,Sc,-29.87104034423828,-27.9583740234375,-29.215331077575684,-28.787904739379883
139,38,I didn't travel to two ski resorts this summer,even though I was supposed to go to them.,F1,S,-24.217559814453125,-22.04973602294922,-19.269659519195557,-19.264549732208252
140,62,Most T-shirts are made by these manufacturers,while some other T-shirts are produced under exclusive licenses.,F2,Sc,-38.69315814971924,-35.956546783447266,-35.013681411743164,-39.82451915740967
141,52,I always rent some pieces of gear before climbing,since I find those pieces of gear helpful.,F1,S,-30.70256805419922,-28.459877014160156,-30.142041206359863,-28.687079429626465
142,56,Some local guitarists play with a few backing vocalists,as the backing vocalists are talented.,F1,S,-28.658706665039062,-26.18613624572754,-28.141596794128418,-27.893306732177734
143,28,I didn't remember a joke told on the TV show Hannibal,mostly because it's a serious drama with barely any jokes.,F2,S,-47.215728759765625,-43.57179260253906,-48.04247713088989,-46.6369423866272
144,38,I didn't travel to two ski resorts this summer,because I didn't go anywhere.,F2,S,-18.76476287841797,-16.581161499023438,-16.96909999847412,-15.60022258758545
145,54,I always buy four lamps from IKEA,because I love those four designs.,F1,S,-26.594932556152344,-28.337356567382812,-25.04010581970215,-26.86469030380249
146,63,Most graduate students shop from these two thrift stores,and I'm sure the two thrift stores offer great deals.,F1,Sc,-39.24077606201172,-35.06376075744629,-35.53099298477173,-34.1935453414917
147,16,"One day, I interviewed some of my favourite footballers",but I don't know which ones.,F2,Sc,-20.84937286376953,-22.501739501953125,-21.645801544189453,-20.894737720489502
148,9,I visited the majority of my neighbours,but I don't know who they are.,F2,Sc,-17.860618591308594,-19.617603302001953,-18.553293228149414,-18.898079872131348
149,55,Some farmers own a donkey,and their donkeys are happy.,F2,S,-25.51663589477539,-24.327237129211426,-23.86976671218872,-25.591341972351074
150,10,I might see two of my professors today,and I know which two.,F1,S,-24.215553283691406,-22.832717895507812,-22.230356216430664,-19.511527061462402
151,54,I always buy four lamps from IKEA,but it's a different four each time.,F2,S,-33.41869354248047,-34.44957733154297,-30.93809461593628,-30.445969581604004
152,26,I expect to finish two hikes before the end of the month,although I haven't chosen which two hikes yet.,F2,S,-40.47431945800781,-33.11965560913086,-33.55749320983887,-32.790740966796875
153,32,I disliked all the books on sale,which is to say I enjoyed only a few of them.,F2,Sc,-33.402305603027344,-32.56166219711304,-35.510762214660645,-33.21604108810425
154,40,I didn't reject three applications for the job,because there were no applications in the first place.,F2,S,-23.05243682861328,-19.926164627075195,-22.873270511627197,-22.287046432495117
155,41,I sometimes see a carpenter from my window,but it's a different one each time.,F2,S,-28.09154510498047,-25.24404525756836,-22.027761936187744,-22.449056148529053
156,37,I didn't condone every statement the President made,because I agreed with some of them.,F2,S,-21.45836639404297,-18.831379413604736,-18.334792613983154,-17.811997890472412
157,14,I purchased an expensive car,and I know which one.,F1,Sc,-20.805191040039062,-22.647171020507812,-20.919841289520264,-22.01911973953247
158,65,All urban planners eat just these few boxes of pizza,because we don't have enough pizza to go around.,F1,Sc,-24.436866760253906,-24.384525299072266,-22.64963436126709,-23.13463020324707
159,46,I hammered a wall in the morning,because I'm trying to damage that wall.,F1,Sc,-32.00043869018555,-31.876617431640625,-30.691002368927002,-28.441161632537842
160,26,I finished two hikes before the end of the month,and I chose those two hikes for their low difficulty.,F1,Sc,-43.72679901123047,-36.635738372802734,-35.695693492889404,-35.8817572593689
161,21,I aim to travel to a few countries this year,because I've always wanted to travel to them.,F1,S,-21.304004669189453,-23.239578247070312,-23.14144277572632,-22.824443340301514
162,3,A classmate of mine must tell me they love me,and I know which one.,F1,S,-18.426223754882812,-20.498519897460938,-18.427248001098633,-19.356893062591553
163,50,I generally spar with two boxers,although it's a different pair of boxers each time.,F2,S,-40.00699234008789,-35.58689498901367,-35.654579162597656,-30.576712608337402
164,4,I found some days this week to be sunny,and I know which days.,F1,Sc,-25.16449737548828,-29.005352020263672,-25.766096115112305,-25.880491256713867
165,21,I traveled to a few countries this year,but I don't care about which ones they are.,F2,Sc,-30.60289764404297,-29.433387756347656,-29.353203296661377,-30.230762481689453
166,61,Most honeybees search for these flowers,and each set of flowers is very fragrant.,F2,Sc,-35.8603515625,-33.18570613861084,-33.077322006225586,-34.66750717163086
167,36,I hid several secret addictions I have from my family.,because I thought I would be judged for having them.,F1,Sc,-37.17566680908203,-33.63507843017578,-32.549851417541504,-28.572110176086426
168,41,I saw a carpenter from my window,but it's a different one each time.,F2,Sc,-31.999984741210938,-30.746116638183594,-28.623048782348633,-29.8220534324646
169,18,I yearn to be friends with every person in my office,but I don't care about who they are.,F2,S,-22.73072052001953,-21.96877670288086,-22.790713787078857,-21.64622163772583
170,49,I often drink every bottle in the shared fridge,as I like those specific drinks.,F1,S,-32.466068267822266,-30.552490234375,-31.17933225631714,-29.96112871170044
171,30,I ignored a few professors,even though I was supposed to shake hands with them.,F1,Sc,-27.73619842529297,-27.403282165527344,-28.656867504119873,-30.192341327667236
172,47,I dusted some shelves at home,although it's a different set of shelves each time.,F2,Sc,-36.986900329589844,-37.40581703186035,-36.31789207458496,-35.19539976119995
173,16,"One day, I interviewed some of my favourite footballers",and I know which ones.,F1,Sc,-22.774757385253906,-23.42138671875,-26.000438690185547,-26.785173892974854
174,35,I didn't pass all of my exams,"in other words, I got a grade of F in all of them.",F1,S,-43.19916534423828,-42.75790596008301,-40.188228607177734,-40.37137031555176
175,11,I ordered three of my favourite items on the menu,but I don't know which three.,F2,Sc,-24.530776977539062,-23.41748809814453,-23.404306888580322,-22.632339477539062
176,48,I frequently greet most people in my lab,even though it's a different set of people each time.,F2,S,-36.967105865478516,-35.6961555480957,-30.862090587615967,-31.624489784240723
177,39,I lost five games of tennis on Saturday,since I didn't play any tennis on Saturday.,F2,Sc,-27.880409240722656,-27.081748962402344,-26.370991230010986,-28.590808868408203
178,5,I gave myself some tattoos,and I know which ones.,F1,Sc,-21.606414794921875,-21.674171447753906,-23.85994577407837,-22.625915050506592
179,42,I sometimes eat a few flavours from St Viateur,and it's different flavours each time.,F2,S,-25.999481201171875,-27.032855987548828,-22.685714721679688,-26.07686758041382
180,44,I danced with all my siblings,together on New Year's Eve.,F1,Sc,-18.479618072509766,-17.894535064697266,-18.96636152267456,-17.73923969268799
181,62,Most T-shirts are made by these manufacturers,as it's profitable for every manufacturer to make a wide-range of T-shirts.,F1,Sc,-55.593966484069824,-52.41069984436035,-50.73835277557373,-53.1154670715332
182,18,I yearn to be friends with every person in my office,because I care about who they are.,F1,S,-20.60443115234375,-19.027610778808594,-20.186644077301025,-19.18025827407837
183,43,I liked most songs on Mario's playlist,even though it's a different set of songs each time.,F2,Sc,-32.056312561035156,-29.781431198120117,-29.61090850830078,-29.566659927368164
184,14,I desire to purchase an expensive car,but I don't know which one.,F2,S,-17.461326599121094,-15.753562927246094,-14.357381820678711,-14.677181720733643
185,23,I ate a donut from Krispy Kreme,because I love that donut.,F1,Sc,-17.425792694091797,-17.34227752685547,-16.809239387512207,-16.166858673095703
186,24,I gave my father five trading cards I love,and I know which ones.,F1,Sc,-23.017593383789062,-23.231689453125,-23.863226413726807,-23.75842571258545
187,11,I will probably order three of my favourite items on the menu,but I don't know which three.,F2,S,-22.652862548828125,-21.05669403076172,-20.27376651763916,-18.46798610687256
188,24,I owe my father five trading cards I love,but I don't know which ones.,F2,S,-18.953651428222656,-15.944686889648438,-19.197861671447754,-16.760945320129395
