,idx,sentence,followup,ftype,stype,opt125m_response,opt350m_response,opt1b_response,opt3b_response,opt7b_response,opt13b_response,opt30b_response
22,61,Most honeybees search for these flowers,because the flowers are very fragrant.,F1,Sc,-19.72960901260376,-19.09040069580078,-17.90417194366455,-19.84367084503174,-18.50686550140381,-19.019866943359375,-18.98957347869873
23,19,I deserve to work at a Fortune 500 company,but I don't care which one.,F2,S,-19.64739418029785,-19.150367736816406,-22.241740226745605,-21.084413528442383,-20.693485260009766,-19.449628829956055,-21.166648864746094
24,17,I tested most tools in the shop,and I know which tools those are.,F1,Sc,-27.469899654388428,-28.028729915618896,-24.41428565979004,-26.471092224121094,-26.101725578308105,-27.02964210510254,-24.720930099487305
25,8,I will likely speak face-to-face with most of my classmates,but I don't know which ones those are.,F2,S,-30.263293266296387,-26.93434238433838,-24.416778564453125,-23.762083053588867,-24.76309585571289,-24.175899505615234,-25.450170516967773
26,31,I missed most of Breaking Bad,because I watched only just over half the episodes.,F2,Sc,-31.65404462814331,-32.42430543899536,-30.733304023742676,-30.40766429901123,-30.242238998413086,-32.18924903869629,-33.35888671875
27,17,I want to test most tools in the shop,but I don't know which tools those are.,F2,S,-23.268811225891113,-22.584095001220703,-21.22856330871582,-23.155465126037598,-22.06917667388916,-21.754858016967773,-21.386077880859375
28,55,Some farmers own this donkey,and the donkey is happy.,F1,Sc,-18.488224983215332,-17.378616094589233,-14.791289329528809,-15.127135276794434,-16.264485359191895,-17.161012649536133,-16.249732971191406
29,20,I met all the extended members of my family,even though I don't know who they are yet.,F2,Sc,-22.70431613922119,-22.806506156921387,-26.477269172668457,-25.257509231567383,-24.82280445098877,-24.60034942626953,-27.220431327819824
30,37,I condemned every statement the President made,as I thought every one of them was horrible.,F1,Sc,-28.617183208465576,-28.525627613067627,-27.749836444854736,-25.826443672180176,-25.83305072784424,-22.47394371032715,-25.508460998535156
31,1,I met a close friend of mine in the morning,but I don't know which one.,F2,Sc,-18.58558702468872,-20.564959049224854,-20.862143516540527,-20.764525413513184,-20.980923652648926,-21.945491790771484,-23.048940658569336
32,34,I didn't catch most balls at baseball practice yesterday,"in fact, I successfully made only three of the fifteen catches possible.",F1,S,-63.10684156417847,-64.7549467086792,-57.144193172454834,-55.16688251495361,-55.888858795166016,-56.08859443664551,-54.504920959472656
33,46,I usually hammer a wall in the morning,but it's a different wall each time.,F2,S,-28.42336130142212,-27.154673099517822,-23.976335525512695,-21.44114398956299,-19.96470546722412,-19.964597702026367,-19.678674697875977
34,61,Most honeybees search for some flowers,and each set of flowers is very fragrant.,F2,S,-34.71104669570923,-34.345778465270996,-35.576120376586914,-40.244224548339844,-39.58885478973389,-35.90990447998047,-37.84459972381592
35,67,All students are supervised by two professors,since we have more than enough professors.,F2,S,-31.3644962310791,-25.85890293121338,-25.254514694213867,-26.144168853759766,-29.70515537261963,-27.677082061767578,-30.011760711669922
36,62,Most T-shirts are made by all manufacturers,while some other T-shirts are produced under exclusive licenses.,F2,S,-42.583558559417725,-43.1502640247345,-35.47629690170288,-35.96571063995361,-33.038583755493164,-33.457435607910156,-34.59989356994629
37,62,Most T-shirts are made by all manufacturers,as it's profitable for every manufacturer to make a wide-range of T-shirts.,F1,S,-55.379676818847656,-48.962299823760986,-48.79422616958618,-43.79310703277588,-45.975350856781006,-46.17973232269287,-47.74877071380615
38,31,I didn't watch most of Breaking Bad,because I watched only just over half the episodes.,F2,S,-33.02499723434448,-32.67623472213745,-29.27430486679077,-30.42233657836914,-34.251402854919434,-33.0720100402832,-35.83840274810791
39,56,Some local guitarists play with a few backing vocalists,and each set of backing vocalists is talented.,F2,S,-36.20785427093506,-33.63693714141846,-34.768667697906494,-34.67439556121826,-37.91224908828735,-36.631059646606445,-37.272067070007324
40,2,I will probably watch an episode of Tom and Jerry that I love,and I know which episode.,F1,S,-23.64868688583374,-23.50700855255127,-21.772589206695557,-21.801350593566895,-21.408313751220703,-22.47248077392578,-20.78327751159668
41,20,I met all the extended members of my family,because I care deeply about them.,F1,Sc,-19.41648530960083,-23.737385153770447,-21.908065795898438,-23.445207595825195,-21.64683246612549,-21.48095703125,-24.142915725708008
42,65,All urban planners eat a few boxes of pizza,because we have more than enough pizza to go around.,F2,S,-29.245746612548828,-25.599603176116943,-25.61467170715332,-25.493257522583008,-27.602431297302246,-28.413480758666992,-28.96501922607422
43,50,I generally spar with two boxers,because the two boxers are good training partners.,F1,S,-30.4977388381958,-28.91560173034668,-26.75789451599121,-30.219239234924316,-28.256553649902344,-29.439424514770508,-28.443227767944336
44,16,"One day, I hope to interview some of my favourite footballers",but I don't know which ones.,F2,S,-16.679593563079834,-17.30925941467285,-17.905879020690918,-17.660785675048828,-16.576005935668945,-18.750505447387695,-18.172834396362305
45,22,I request to spend New Year's with most members of my team,even though I haven't met them yet.,F2,S,-19.294774055480957,-20.67684030532837,-18.931556224822998,-19.19069194793701,-18.67177677154541,-19.45033836364746,-18.043193817138672
46,34,I dropped most balls at baseball practice yesterday,"in fact, I successfully made only three of the fifteen catches possible.",F1,Sc,-64.12049961090088,-65.12066888809204,-59.70382499694824,-57.92262363433838,-56.339139461517334,-55.96489715576172,-57.61966133117676
47,51,I always wear a jacket before going out,although it's a different one each time.,F2,S,-30.565631866455078,-28.096253871917725,-29.611967086791992,-28.267318725585938,-28.61762809753418,-28.348690032958984,-26.472972869873047
48,39,I didn't win five games of tennis on Saturday,even though I was supposed to win them.,F1,S,-19.90416717529297,-19.057239532470703,-20.299951553344727,-18.092687606811523,-19.724480628967285,-19.927921295166016,-21.339948654174805
49,11,I ordered three of my favourite items on the menu,and I know which three.,F1,Sc,-25.631606101989746,-23.592854022979736,-20.81807041168213,-20.280031204223633,-23.273048400878906,-20.874069213867188,-20.763816833496094
50,23,I crave to eat a donut from Krispy Kreme,but I don't care which one.,F2,S,-19.619978427886963,-20.119709968566895,-18.95663833618164,-18.95467758178711,-19.430644035339355,-19.636981964111328,-20.732582092285156
51,55,Some farmers own this donkey,and their donkeys are happy.,F2,Sc,-27.627437591552734,-25.431795120239258,-22.599266052246094,-21.523283004760742,-22.761189937591553,-22.53022003173828,-23.71728801727295
52,12,"This holiday season, I must donate to two charities",but I don't know which ones.,F2,S,-17.924290657043457,-18.22637939453125,-14.405863761901855,-12.261490821838379,-12.631367683410645,-13.694997787475586,-13.322479248046875
53,34,I dropped most balls at baseball practice yesterday,but I did make around half of the fifteen catches possible.,F2,Sc,-60.382840156555176,-57.21408176422119,-51.45570945739746,-49.47015953063965,-48.884395599365234,-53.38941287994385,-50.16221237182617
54,66,You find every animal from The Lion King in most zoos,but don't expect to see all of them in the same zoo.,F1,S,-28.90609836578369,-27.864014744758606,-29.482422828674316,-31.904322624206543,-28.188486099243164,-28.452892303466797,-26.837322235107422
55,47,I usually dust some shelves at home,although it's a different set of shelves each time.,F2,S,-33.8149356842041,-36.8116512298584,-32.46846961975098,-32.97848129272461,-30.335683822631836,-30.940613746643066,-32.23832416534424
56,13,I want to buy a sandwich from Subway,and I know which one.,F1,S,-18.61985206604004,-18.868107557296753,-17.90366840362549,-16.828436851501465,-17.537205696105957,-17.17569923400879,-17.599079132080078
57,29,I didn't notice an error in my code,and so my code didn't work properly.,F1,S,-27.701042652130127,-27.63614559173584,-25.816883087158203,-27.55416488647461,-23.68004035949707,-23.6539363861084,-23.507183074951172
58,24,I gave my father five trading cards I love,but I don't know which ones.,F2,Sc,-17.26069736480713,-18.048596382141113,-17.739569664001465,-17.818093299865723,-16.660097122192383,-16.523447036743164,-16.953081130981445
59,7,I became a fan of most ex-members of One Direction,but I don't know which ex-members those are.,F2,Sc,-31.720832347869873,-30.79761576652527,-29.789889812469482,-30.850847244262695,-30.298535346984863,-29.71703338623047,-29.59712791442871
60,48,I frequently greet most people in my lab,since I like them even outside work.,F1,S,-35.50430727005005,-36.865275382995605,-35.69176721572876,-35.07501220703125,-34.21911907196045,-34.78930473327637,-34.24328422546387
61,27,I starved a dog,even though I was supposed to feed him.,F1,Sc,-23.080227375030518,-21.518555641174316,-19.97884464263916,-20.440391540527344,-19.327274322509766,-19.688161849975586,-19.378910064697266
62,51,I wore a jacket before going out,although it's a different one each time.,F2,Sc,-33.23025608062744,-31.57429790496826,-33.990694522857666,-31.95573902130127,-33.039814949035645,-33.08889389038086,-33.242520332336426
63,26,I expect to finish two hikes before the end of the month,and I chose those two hikes for their low difficulty.,F1,S,-43.57670259475708,-42.725470542907715,-38.73030757904053,-34.0454216003418,-35.615657806396484,-35.17889213562012,-34.38135623931885
64,6,I must win a few matches this week,but I don't know which ones.,F2,S,-18.41877031326294,-15.798928260803223,-16.732388496398926,-15.415833473205566,-15.696523666381836,-14.995023727416992,-15.837076187133789
65,16,"One day, I hope to interview some of my favourite footballers",and I know which ones.,F1,S,-19.774813175201416,-19.943622589111328,-19.378478050231934,-21.1990966796875,-19.39215660095215,-20.39683723449707,-20.318326950073242
66,22,I request to spend New Year's with most members of my team,because I am close to them.,F1,S,-18.9850172996521,-18.26030921936035,-18.813767910003662,-19.23416519165039,-17.032861709594727,-16.676605224609375,-16.778318405151367
67,35,I failed all of my exams,"in other words, I got a grade of F in all of them.",F1,Sc,-49.82365417480469,-41.23427128791809,-43.51734733581543,-38.64596462249756,-40.27641439437866,-39.529690742492676,-37.27051830291748
68,45,I occasionally consult two dentists,since I trust the two dentists.,F1,S,-29.76667022705078,-28.069067001342773,-30.531864166259766,-31.49188804626465,-28.971424102783203,-30.783321380615234,-29.454870223999023
69,54,I bought four lamps from IKEA,because I love those four designs.,F1,Sc,-30.39672040939331,-29.622397422790527,-26.49318838119507,-27.865028381347656,-26.786704063415527,-28.193937301635742,-28.645758628845215
70,48,I greeted most people in my lab,even though it's a different set of people each time.,F2,Sc,-30.762266635894775,-34.443073749542236,-30.437479496002197,-33.801249504089355,-31.06306791305542,-32.408226013183594,-33.59178829193115
71,3,A classmate of mine told me they love me,and I know which one.,F1,Sc,-20.520322799682617,-20.939583778381348,-20.941076278686523,-21.512508392333984,-20.968043327331543,-20.06289291381836,-22.22073745727539
72,19,I deserve to work at a Fortune 500 company,because I'm perfect for that company.,F1,S,-24.064261436462402,-20.902856826782227,-20.93286895751953,-22.98157024383545,-22.443480968475342,-24.58552360534668,-20.966293334960938
73,60,Most fast-food chains exclusively sell this brand of soda,"and in each case, the brand of soda is popular.",F2,Sc,-36.539823055267334,-37.3771185874939,-36.47083806991577,-37.78365755081177,-39.56937313079834,-39.04294013977051,-38.63528537750244
74,2,I watched an episode of Tom and Jerry that I love,but I don't know which episode.,F2,Sc,-16.697168350219727,-15.218639850616455,-13.118172645568848,-15.764190673828125,-15.417093276977539,-15.882162094116211,-14.246416091918945
75,8,I spoke face-to-face with most of my classmates,and I know which ones those are.,F1,Sc,-31.679972171783447,-27.459898471832275,-26.374356269836426,-26.67843532562256,-25.909728050231934,-25.89986801147461,-24.690659523010254
76,34,I didn't catch most balls at baseball practice yesterday,but I did make around half of the fifteen catches possible.,F2,S,-55.842698097229004,-54.196837186813354,-47.44587182998657,-46.107107162475586,-48.38343095779419,-51.45130729675293,-48.995381355285645
77,12,"This holiday season, I donated to two charities",and I know which ones.,F1,Sc,-22.311237812042236,-22.18323040008545,-21.32759380340576,-19.68468952178955,-20.086257934570312,-20.747299194335938,-17.913236618041992
78,33,I allowed some people to leave the office early on Friday,because there's wasn't even anyone at the office on Friday.,F2,Sc,-42.97516632080078,-38.267021894454956,-38.31955337524414,-36.92158508300781,-37.727434158325195,-36.02194404602051,-36.51995849609375
79,1,I met a close friend of mine in the morning,and I know which one.,F1,Sc,-20.79371404647827,-24.423340320587158,-23.65865182876587,-24.170223236083984,-26.910788536071777,-25.97262191772461,-26.562660217285156
80,44,I occasionally dance with all my siblings,although each time it's with a different one.,F2,S,-36.587714195251465,-33.3139009475708,-30.549050331115723,-30.023839950561523,-30.640855312347412,-29.30593490600586,-29.977560997009277
81,44,I occasionally dance with all my siblings,together on New Year's Eve.,F1,S,-17.81772470474243,-17.797478675842285,-18.216659545898438,-14.504076957702637,-14.953454971313477,-15.427698135375977,-14.61846923828125
82,20,I wish to meet all the extended members of my family,because I care deeply about them.,F1,S,-18.606850624084473,-17.49366283416748,-18.357077598571777,-19.29323673248291,-18.137845993041992,-19.886404037475586,-19.05900001525879
83,26,I finished two hikes before the end of the month,although I haven't chosen which two hikes yet.,F2,Sc,-43.183517932891846,-38.519165992736816,-37.371981620788574,-33.778571128845215,-35.61401844024658,-34.951332092285156,-33.83627891540527
84,40,I didn't reject three applications for the job,despite the fact that my boss told me to reject them.,F1,S,-25.301870346069336,-28.5948224067688,-23.484725952148438,-23.45372772216797,-23.832178115844727,-23.40931510925293,-25.483295440673828
85,50,I sparred with two boxers,because the two boxers are good training partners.,F1,Sc,-35.47993040084839,-36.534152030944824,-35.331668853759766,-36.6337947845459,-34.194313049316406,-33.29678726196289,-34.2672119140625
86,27,I didn't feed a dog,because there was no dog to feed. ,F2,S,-21.084145069122314,-22.52235698699951,-21.222418308258057,-19.03775691986084,-20.156067848205566,-20.27708625793457,-20.08037567138672
87,65,All urban planners eat a few boxes of pizza,because we don't have enough pizza to go around.,F1,S,-25.280137538909912,-22.522752285003662,-23.151775360107422,-21.66502571105957,-24.267931938171387,-25.809375762939453,-25.29944610595703
88,5,I gave myself some tattoos,but I don't know which ones.,F2,Sc,-15.460131645202637,-16.580202102661133,-16.259946823120117,-17.04633140563965,-17.828503608703613,-18.3659725189209,-18.53215980529785
89,49,I often drink every bottle in the shared fridge,despite the fact that it's a different set of drinks each time.,F2,S,-36.16964149475098,-38.2512845993042,-38.34871864318848,-36.14163684844971,-37.78874635696411,-35.050920486450195,-39.1586799621582
90,20,I wish to meet all the extended members of my family,even though I don't know who they are yet.,F2,S,-22.320634841918945,-20.949679374694824,-23.69857883453369,-22.126300811767578,-20.499547004699707,-17.567855834960938,-19.484025955200195
91,29,I overlooked an error in my code,because my code had no errors.,F2,Sc,-23.704970359802246,-22.380757808685303,-22.54253578186035,-21.420559883117676,-19.568157196044922,-20.991085052490234,-19.885026931762695
92,21,I aim to travel to a few countries this year,but I don't care about which ones they are.,F2,S,-30.70891571044922,-28.51034927368164,-28.029043674468994,-25.00157928466797,-27.424635887145996,-26.684179306030273,-24.288509368896484
93,10,I saw two of my professors today,and I know which two.,F1,Sc,-22.669166564941406,-22.656944751739502,-19.427298545837402,-19.350250244140625,-20.610690116882324,-23.764272689819336,-21.835538864135742
94,45,I occasionally consult two dentists,although it's a different pair of dentists each time.,F2,S,-34.658310890197754,-36.11581802368164,-32.118353843688965,-30.995234489440918,-31.651523113250732,-31.681610107421875,-30.446616172790527
95,4,I may find some days this week to be sunny,but I don't know which days.,F2,S,-16.387703895568848,-17.131896018981934,-16.995394706726074,-16.254180908203125,-15.4156494140625,-16.685504913330078,-15.983369827270508
96,25,I shared my playlist with three close friends,but I don't care about who they are.,F2,Sc,-26.75812816619873,-25.905046463012695,-27.768415451049805,-27.43930435180664,-26.24021053314209,-29.70142364501953,-29.115970611572266
97,6,I won a few matches this week,and I know which ones.,F1,Sc,-20.496809482574463,-20.09280300140381,-19.811054706573486,-21.208338737487793,-19.37534523010254,-21.61786460876465,-19.00520896911621
98,33,I didn't stop some people from leaving the office early on Friday,although I could have stopped them from doing so.,F1,S,-28.129706382751465,-29.15207290649414,-26.855013847351074,-23.771443367004395,-23.812442779541016,-23.082660675048828,-24.07525634765625
99,17,I want to test most tools in the shop,and I know which tools those are.,F1,S,-27.25639295578003,-28.23184299468994,-24.61942958831787,-24.69557285308838,-24.041090965270996,-24.338096618652344,-26.022235870361328
100,9,I must visit the majority of my neighbours,but I don't know who they are.,F2,S,-15.895247459411621,-16.110558032989502,-16.110997200012207,-14.019128799438477,-13.837944030761719,-14.830808639526367,-15.32645034790039
101,42,I ate a few flavours from St Viateur,and it's different flavours each time.,F2,Sc,-28.32413959503174,-28.850921869277954,-24.63019323348999,-25.643290519714355,-26.29051113128662,-24.94331169128418,-25.71214485168457
102,63,Most graduate students shop from two thrift stores,and I'm sure the two thrift stores offer great deals.,F1,S,-34.47025156021118,-33.271374225616455,-35.250433921813965,-38.58729362487793,-38.27996015548706,-38.78356170654297,-36.24621868133545
103,1,I may meet a close friend of mine in the morning,and I know which one.,F1,S,-21.44985008239746,-21.83168125152588,-21.880115509033203,-21.58569622039795,-24.318289756774902,-26.492931365966797,-25.295162200927734
104,43,I sometimes like most songs on Mario's playlist,"because they're hip-hop songs, and now and then I enjoy hip-hop.",F1,S,-49.508492946624756,-48.46556615829468,-45.19315195083618,-47.080445289611816,-43.62639284133911,-45.6447696685791,-46.0249605178833
105,57,A few people own these investment stocks,"because everyone wants to buy them, and everyone can afford to.",F2,Sc,-36.368534564971924,-33.89673185348511,-36.49159097671509,-38.78138446807861,-40.54031181335449,-36.48515319824219,-40.83048057556152
106,58,A few kitchens make food for every local orphanage,since we don't have enough kitchens for the number of orphanages.,F1,S,-42.45065402984619,-39.197574615478516,-31.239654064178467,-33.22338104248047,-33.07490253448486,-31.735666275024414,-33.15536117553711
107,10,I might see two of my professors today,but I don't know which two.,F2,S,-19.36857795715332,-17.43999481201172,-16.2850284576416,-16.015262603759766,-14.084465026855469,-13.526201248168945,-14.873022079467773
108,38,I avoided two resorts this summer,because I didn't go anywhere.,F2,Sc,-17.557881355285645,-17.356435298919678,-18.014394760131836,-21.219493865966797,-20.13767147064209,-21.882522583007812,-20.82232666015625
109,44,I danced with all my siblings,although each time it's with a different one.,F2,Sc,-43.476609230041504,-40.48322868347168,-36.27853775024414,-34.0905179977417,-35.3413348197937,-32.65276527404785,-34.82316017150879
110,21,I traveled to a few countries this year,because I've always wanted to travel to them.,F1,Sc,-21.17147207260132,-22.79354238510132,-21.787314414978027,-22.77339744567871,-20.98805046081543,-21.053653717041016,-22.08880043029785
111,64,Every laptop is facing a glitch,and each glitch is causing major issues to users.,F2,S,-36.213074684143066,-36.57104301452637,-33.45789432525635,-32.77437973022461,-33.91229057312012,-34.04576301574707,-32.28028678894043
112,9,I visited the majority of my neighbours,and I know who they are.,F1,Sc,-17.160178661346436,-16.579379081726074,-16.789761543273926,-15.489333152770996,-17.799007415771484,-16.145597457885742,-15.51657485961914
113,53,I drank with most people I play chess against,because they happen to also be good friends of mine.,F1,Sc,-29.700604915618896,-30.44307518005371,-26.981178283691406,-24.717973709106445,-25.308892250061035,-23.180261611938477,-27.864221572875977
114,40,I accepted three applications for the job,because there were no applications in the first place.,F2,Sc,-24.779889583587646,-25.721943616867065,-25.51363182067871,-25.68614387512207,-25.747583389282227,-20.812175750732422,-22.696924209594727
115,29,I didn't notice an error in my code,because my code had no errors.,F2,S,-21.639560222625732,-21.86616849899292,-17.624423027038574,-18.018921852111816,-16.426770210266113,-16.36288070678711,-16.72046661376953
116,39,I didn't win five games of tennis on Saturday,since I didn't play any tennis on Saturday.,F2,S,-20.963871002197266,-21.993283212184906,-22.322267532348633,-20.933003425598145,-20.75644016265869,-18.668380737304688,-15.174489974975586
117,42,I sometimes eat a few flavours from St Viateur,because I really like those flavours.,F1,S,-19.121121883392334,-18.197068214416504,-16.972890377044678,-17.487967491149902,-18.61786985397339,-19.10762119293213,-18.20098114013672
118,53,I always drink with most people I play chess against,because they happen to also be good friends of mine.,F1,S,-29.081774711608887,-29.66690683364868,-28.50265407562256,-26.01245403289795,-26.284873008728027,-24.900951385498047,-27.58547592163086
119,58,A few kitchens make food for these local orphanages,since we have way too many kitchens for the number of orphanages.,F2,Sc,-43.74819803237915,-44.548877239227295,-37.318286418914795,-43.07861137390137,-36.91164684295654,-36.42099380493164,-40.27177047729492
120,60,Most fast-food chains exclusively sell a brand of soda,"and in each case, the brand of soda is popular.",F2,S,-35.73131847381592,-35.38821887969971,-34.22030258178711,-32.89735507965088,-36.7041802406311,-34.6047306060791,-35.43252468109131
121,31,I didn't watch most of Breaking Bad,as I only watched a couple episodes.,F1,S,-18.772247314453125,-20.12697410583496,-17.90169048309326,-18.98695659637451,-20.192219734191895,-18.577314376831055,-20.860593795776367
122,28,I forgot a joke told on the TV show Hannibal,even though the joke was really funny.,F1,Sc,-20.47909641265869,-27.25236678123474,-24.70284366607666,-22.96667194366455,-21.351430892944336,-22.07489776611328,-24.05403423309326
123,18,I was friends with every person in my office,because I care about who they are.,F1,Sc,-24.22006893157959,-25.427390575408936,-25.012943267822266,-21.23954200744629,-22.499682426452637,-23.570024490356445,-23.394916534423828
124,32,I didn't like all the books on sale,which is to say I enjoyed none of them.,F1,S,-29.50734806060791,-27.773635387420654,-28.466504096984863,-26.98971939086914,-23.69013500213623,-25.86577033996582,-24.561155319213867
125,9,I must visit the majority of my neighbours,and I know who they are.,F1,S,-17.204612731933594,-18.12954044342041,-19.108903884887695,-17.209290504455566,-17.57844352722168,-17.967870712280273,-17.113640785217285
126,37,I didn't condone every statement the President made,as I thought every one of them was horrible.,F1,S,-28.6747727394104,-28.08369207382202,-26.435909271240234,-25.573537826538086,-26.462193489074707,-26.137752532958984,-28.767120361328125
127,30,I ignored a few professors,since there were no professors to shake hands with.,F2,Sc,-32.80511236190796,-34.74109125137329,-40.3418984413147,-35.80124378204346,-36.03979206085205,-35.739545822143555,-36.560492515563965
128,43,I liked most songs on Mario's playlist,"because they're hip-hop songs, and now and then I enjoy hip-hop.",F1,Sc,-52.46022176742554,-51.575494050979614,-47.70556402206421,-49.32124710083008,-46.15379476547241,-48.20363426208496,-50.51547813415527
129,25,I shared my playlist with three close friends,because the three of them love my playlists.,F1,Sc,-30.454063415527344,-31.301027297973633,-28.82277250289917,-28.869888305664062,-28.991910934448242,-30.932693481445312,-29.514734268188477
130,52,I always rent some pieces of gear before climbing,although it's a different set of pieces of gear each time.,F2,S,-42.63469123840332,-40.5809965133667,-37.9791259765625,-38.52627372741699,-37.46782207489014,-36.96369171142578,-40.45713710784912
131,59,Some textbooks cite three authors on colonialism,because the three of them are highly regarded.,F1,S,-29.662890434265137,-29.922704696655273,-25.92763614654541,-28.274879455566406,-27.63234519958496,-28.02549171447754,-26.475961685180664
132,59,Some textbooks cite these three authors on colonialism,because the three of them are highly regarded.,F1,Sc,-27.768022537231445,-28.927324533462524,-24.8268404006958,-28.138869285583496,-25.709735870361328,-25.794002532958984,-27.054683685302734
133,58,A few kitchens make food for every local orphanage,since we have way too many kitchens for the number of orphanages.,F2,S,-46.00603914260864,-44.08172273635864,-35.455307483673096,-40.18064212799072,-38.37109851837158,-37.14850425720215,-37.817312240600586
134,8,I will likely speak face-to-face with most of my classmates,and I know which ones those are.,F1,S,-32.446948528289795,-28.253076553344727,-27.04100799560547,-27.572622299194336,-24.343819618225098,-26.598119735717773,-25.904155731201172
135,67,All students are supervised by these two professors,since we don't have enough professors.,F1,Sc,-27.814306259155273,-24.104141235351562,-22.135635375976562,-22.873371124267578,-21.805185317993164,-22.4152774810791,-22.510690689086914
136,57,A few people own most investment stocks,"because although everyone wants to buy them, no one else can afford to.",F1,S,-47.75661659240723,-43.98477745056152,-40.96828556060791,-40.05458736419678,-41.75450325012207,-38.53874206542969,-41.980347633361816
137,32,I disliked all the books on sale,which is to say I enjoyed none of them.,F1,Sc,-27.807644844055176,-25.608149766921997,-25.62773323059082,-24.21787452697754,-23.792534828186035,-24.17645835876465,-22.250490188598633
